Country,Year,Owner,Species,Variety,Color,Production_Bag,KG_x_Bag,Total_Production,Score_Aroma,Score_Flavor,Score_Aftertaste,Score_Acidity,Score_Body,Score_Balance,Score_Uniformity,Score_Sweetness,Score_Moisture,Score_Total
United States,2010,kona pacific farmers cooperative,Arabica,,Unknown,25,45.3592,1133.98,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,0.0,86.25
Brazil,2010,jacques pereira carneiro,Arabica,Yellow Bourbon,Unknown,300,60.0,18000.0,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,0.08,86.17
Brazil,2010,jacques pereira carneiro,Arabica,Yellow Bourbon,Unknown,300,60.0,18000.0,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,0.01,86.17
Ethiopia,2010,ethiopia commodity exchange,Arabica,,Unknown,360,6.0,2160.0,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,0.0,85.08
Ethiopia,2010,ethiopia commodity exchange,Arabica,,Unknown,300,6.0,1800.0,7.58,7.83,7.58,8.0,7.83,7.5,10.0,10.0,0.1,83.83
United States,2010,kona pacific farmers cooperative,Arabica,,Unknown,12,60.0,720.0,7.5,7.92,7.42,7.67,7.83,7.58,10.0,10.0,0.01,83.42
Indonesia,2010,specialty coffee association of indonesia,Arabica,,Unknown,10,60.0,600.0,7.67,7.58,7.5,7.58,7.67,7.58,10.0,10.0,0.0,83.08
Ethiopia,2010,ethiopia commodity exchange,Arabica,,Unknown,360,6.0,2160.0,7.25,7.25,7.25,7.33,7.5,8.0,9.33,10.0,0.1,80.33
Ethiopia,2010,ethiopia commodity exchange,Arabica,,Unknown,300,6.0,1800.0,7.42,7.42,7.5,7.92,7.75,7.58,8.67,8.67,0.05,80.0
Haiti,2010,myriam kaplan-pasternak,Arabica,,Unknown,85,58.96696,5012.1916,6.92,6.75,7.08,7.17,7.33,6.67,10.0,8.67,0.08,72.33
Brazil,2011,nucoffee,Arabica,Bourbon,Green,3,60.0,180.0,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,0.12,86.92
Brazil,2011,nucoffee,Arabica,Bourbon,Green,29,60.0,1740.0,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,0.12,86.42
Brazil,2011,nucoffee,Arabica,Bourbon,Blue-Green,7,60.0,420.0,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,0.11,86.08
Brazil,2011,nucoffee,Arabica,Bourbon,Blue-Green,5,60.0,300.0,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,0.11,85.42
Brazil,2011,nucoffee,Arabica,Bourbon,Green,4,60.0,240.0,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,0.11,84.92
Brazil,2011,nucoffee,Arabica,Catuai,Green,10,60.0,600.0,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,0.12,84.92
Brazil,2011,nucoffee,Arabica,Bourbon,Green,37,60.0,2220.0,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,0.12,84.58
Brazil,2011,nucoffee,Arabica,Catuai,Blue-Green,35,60.0,2100.0,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,0.11,84.58
Brazil,2011,nucoffee,Arabica,Yellow Bourbon,Unknown,75,60.0,4500.0,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,0.0,84.33
Brazil,2011,nucoffee,Arabica,,Unknown,80,60.0,4800.0,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,0.02,84.33
Thailand,2011,doi tung development project,Arabica,,Unknown,1,60.0,60.0,7.58,7.75,7.58,7.75,7.58,7.75,10.0,10.0,0.06,84.0
Thailand,2011,doi chaang coffee company,Arabica,,Unknown,175,50.0,8750.0,7.75,7.75,7.58,8.0,7.67,7.58,10.0,10.0,0.02,83.83
